"x"
"IGF2"
"POSTN"
"SST"
"COL11A1"
"NLRP2"
"LGR5"
"HP///HPR"
"IGKV1-39///IGKV1D-39"
"DEFB1"
"MFAP5"
"VAV3"
"CLDN10"
"PROM1"
"S100A8"
"KLK5"
"PCP4"
"ADIRF"
"UBD///GABBR1"
"PEG3"
"MAL"
"VCAN"
"CXCL9"
"C7"
"PNOC"
"COL5A2"
"LAMA3"
"VGLL1"
"ST6GALNAC5"
"UCHL1"
"COL5A1"
"APOA1"
"BEX1"
"CRABP1"
"IGJ"
"TFAP2A"
"PTN"
"SULF1"
"HOXD1"
"XIST"
"MMP7"
"CLDN16"
"CCNA1"
"TSPAN8"
"RARRES1"
"BBOX1"
"SCGB1D2"
"ZBED2"
"BCAT1"
"FAM107A"
"STXBP6"
"VCAM1"
"GLDC"
"SCG5"
"CHL1"
"CDH2"
"MT1M"
"VTCN1"
"KRT23"
"CTSK"
"PTX3"
"TMEM100"
"HBB"
"HBA2///HBA1"
"ALOX5AP"
"GATA6"
"CXCL10"
"COL10A1"
"UPK1B"
"CLGN"
"IGF2BP3"
"TSPAN1"
"TSPAN7"
"L1CAM"
"TDO2"
"GPX3"
"SYBU"
"IDO1"
"EFEMP1"
"WISP3"
"MS4A4A"
"CCL20"
"IL8"
"SERPINE2"
"SULT1C2"
"SERPINA3"
"PDZK1IP1"
"AKR1C3"
"S100A2"
"SERPINA5"
"SERPINF1"
"FZD10"
"SFRP4"
"CCND1"
"UPK3B"
"SPRY2"
"FCGBP"
"DACH1"
"PRSS21"
"MT1G"
"TIMP3"
"NNMT"
"MMP9"
"DNAJC15"
"TMPRSS4"
"EFS"
"CILP"
"RSAD2"
"TWIST1"
"TRIM29"
"BASP1"
"IFI44L"
"S100A9"
"LAMP3"
"C8orf4"
"KAL1"
"FOS"
"RAB25"
"MPPED2"
"GPRC5A"
"CDH11"
"CRYAB"
"PRELP"
"CD200"
"ACTA2"
"TNFAIP6"
"TMEM176B"
"FCGR2B"
"TAGLN"
"LYZ"
"ACKR3"
"CCL8"
"HIST1H1C"
"FLRT3"
"CXCL1"
"CFH"
"NDN"
"IFIT1"
"ITM2C"
"FCGR3A///FCGR3B"
"COL6A2"
"ID1"
"FBN1"
"HCP5"
"NCAM1"
"IGKV1-13///IGKV1D-13"
"MFAP2"
"CYP1B1"
"COL3A1"
"IL15"
"TNC"
"COL13A1"
"AGR2"
"PTGIS"
"ZNF423"
"MLPH"
"AHNAK2"
"DCN"
"FZD5"
"MMP2"
"FAM129A"
"MT1F"
"AEBP1"
"HPGD"
"ISG15"
"KRT17///JUP"
"OAS1"
"MSANTD3-TMEFF1///TMEFF1"
"HOXB6"
"GREB1"
"GSTT1"
"FGF13"
"TMEM47"
"MEIS2"
"CPM"
"MYRF"
"TMSB15B"
"CXCL11"
"TMSB15A"
"BMP7"
"VSIG4"
"PELI2"
"C1QB"
"OASL"
"CX3CR1"
"CHI3L1"
"HLA-DMA"
"SDC2"
"MX1"
"THY1"
"FN1"
"FXYD3"
"C1orf116"
"RHOBTB3"
"KLK6"
"TMEM45A"
"NID2"
"MUC16"
"KLK10"
"PIR"
"COLEC12"
"THSD4"
"BAG2"
"FXYD6"
"GJA1"
"CTGF"
"KIF5C"
"RARRES3"
"PTPN13"
"ETV5"
"IGF2///INS-IGF2"
"CXCL14"
"IGKV1OR2-108"
"SERPINA1"
"RTP4"
"FGF18"
"GSTM3"
"SYNDIG1"
"F13A1"
"THBS1"
"IQCG"
"CCL2"
"GUCY1A3"
"HEY2"
"RGS2"
"SLC44A4"
"PTPLA"
"ASRGL1"
"LAMP5"
"PVRL3"
"PSMB9"
"AQP3"
"RAB38"
"IFI6"
"IFI44"
"PLAU"
"PCOLCE"
"ANPEP"
"NUAK1"
"NEBL"
"TENM4"
"SRPX"
"OAS3"
"HOXC6"
"MAN1A1"
"KLK11"
"PHLDA1"
"CKMT1B///CKMT1A"
"SLC15A2"
"IGFBP5"
"C1QA"
"ASPN"
"HLA-DPB1"
"PRAME"
"NOV"
"ALDH3B2"
"PLAT"
"CD163"
"HOPX"
"PART1"
"TNFSF10"
"PPAP2C"
"CLIC3"
"HERC6"
"INHBB"
"CDKN2C"
"PHLDA2"
"FHL1"
"ALOX5"
"CYBB"
"TSPAN12"
"HERC5"
"KLK7"
"MAP1B"
"MMP11"
"DPYD"
"GOLGA8A"
"MFSD2B///FKBP1B"
"PALMD"
"CSRP2"
"CSTA"
"PDPN"
"ADM"
"CD14"
"WNT5A"
"PLA2G4A"
"CHODL"
"FRZB"
"S100A1"
"EFHD1"
"STC1"
"TMOD1"
"CACNA1A"
"DSC2"
"MS4A6A"
"GMPR"
"GSPT2"
"TRBC2"
"NEDD9"
"MET"
"THEMIS2"
"GUCY1B3"
"DDX58"
"NMU"
"EVI2B"
"MGLL"
"ELP5"
"IFIT3"
"CAMK2N1"
"SMARCD3"
"FZD2"
"KCTD14"
"QPCT"
"CD48"
"ADAMDEC1"
"HIST1H2AE"
"LAMB1"
"RNASE1"
"CLIC5"
"PDGFD"
"MINOS1-NBL1///NBL1"
"MICB"
"EGFL6"
"TMEM176A"
"FILIP1L"
"INHBA"
"HLA-DRA"
"ADAMTS1"
"SATB1"
"FCER1G"
"EDNRA"
"RUNX3"
"TNFRSF11B"
"CDKN1C"
"HLA-DMB"
"LPHN2"
"CYR61"
"S100A4"
"LAMB3"
"DNALI1"
"AMIGO2"
"RNASE6"
"CLEC2B"
"DUSP1"
"DUSP10"
"CD53"
"CCL4"
"CRTAC1"
"PHACTR1"
"NR4A2"
"NPTX2"
"DOK5"
"TNNT1"
"DEPTOR"
"VDR"
"TNFAIP2"
"STON1"
"FAM69A"
"CFB"
"ZBTB18"
"RARRES2"
"OAS2"
"SLC6A8"
"NQO1"
"GAS1"
"HSPA12A"
"SLC16A3"
"STEAP1"
"LPAR3"
"NME5"
"DUSP6"
"SUSD4"
"MGP"
"FCGR2A"
"GPC4"
"AR"
"TGFBI"
"FST"
"PLBD1"
"GPM6B"
"PROS1"
"PDGFRL"
"SFRP1"
"C3"
"IGF1"
"FCGR1A///FCGR1C///FCGR1B"
