"","x"
"1","GSM249732"
"2","GSM249734"
"3","GSM249735"
"4","GSM249736"
"5","GSM249738"
"6","GSM249739"
"7","GSM249740"
"8","GSM249741"
"9","GSM249742"
"10","GSM249743"
"11","GSM249744"
"12","GSM249745"
"13","GSM249746"
"14","GSM249747"
"15","GSM249748"
"16","GSM249749"
"17","GSM249750"
"18","GSM249751"
"19","GSM249752"
"20","GSM249754"
"21","GSM249755"
"22","GSM249756"
"23","GSM249758"
"24","GSM249759"
"25","GSM249760"
"26","GSM249762"
"27","GSM249763"
"28","GSM249764"
"29","GSM249765"
"30","GSM249766"
"31","GSM249767"
"32","GSM249768"
"33","GSM249769"
"34","GSM249770"
"35","GSM249771"
"36","GSM249773"
"37","GSM249774"
"38","GSM249775"
"39","GSM249776"
"40","GSM249777"
"41","GSM249778"
"42","GSM249780"
"43","GSM249781"
"44","GSM249782"
"45","GSM249783"
"46","GSM249784"
"47","GSM249785"
"48","GSM249786"
"49","GSM249788"
"50","GSM249789"
"51","GSM249791"
"52","GSM249792"
"53","GSM249793"
"54","GSM249794"
"55","GSM249795"
"56","GSM249796"
"57","GSM249797"
"58","GSM249798"
"59","GSM249799"
"60","GSM249800"
"61","GSM249801"
"62","GSM249802"
"63","GSM249803"
"64","GSM249804"
"65","GSM249805"
"66","GSM249806"
"67","GSM249807"
"68","GSM249808"
"69","GSM249809"
"70","GSM249810"
"71","GSM249811"
"72","GSM249812"
"73","GSM249813"
"74","GSM249814"
"75","GSM249815"
"76","GSM249816"
"77","GSM249817"
"78","GSM249818"
"79","GSM249819"
"80","GSM249820"
"81","GSM249821"
"82","GSM249822"
"83","GSM249823"
"84","GSM249824"
"85","GSM249825"
"86","GSM249826"
"87","GSM249827"
"88","GSM249828"
"89","GSM249829"
"90","GSM249830"
"91","GSM249831"
"92","GSM249832"
"93","GSM249833"
"94","GSM249834"
"95","GSM249835"
"96","GSM249836"
"97","GSM249837"
"98","GSM249838"
"99","GSM249839"
"100","GSM249840"
"101","GSM249841"
"102","GSM249842"
"103","GSM249843"
"104","GSM249844"
"105","GSM249845"
"106","GSM249846"
"107","GSM249847"
"108","GSM249848"
"109","GSM249849"
"110","GSM249850"
"111","GSM249851"
"112","GSM249852"
"113","GSM249854"
"114","GSM249855"
"115","GSM249857"
"116","GSM249858"
"117","GSM249859"
"118","GSM249860"
"119","GSM249861"
"120","GSM249862"
"121","GSM249863"
"122","GSM249864"
"123","GSM249865"
"124","GSM249866"
"125","GSM249867"
"126","GSM249871"
"127","GSM249872"
"128","GSM249873"
"129","GSM249874"
"130","GSM249875"
"131","GSM249876"
"132","GSM249877"
"133","GSM249878"
"134","GSM249879"
"135","GSM249880"
"136","GSM249881"
"137","GSM249883"
"138","GSM249884"
"139","GSM249885"
"140","GSM249886"
"141","GSM249887"
"142","GSM249888"
"143","GSM249889"
"144","GSM249890"
"145","GSM249891"
"146","GSM249893"
"147","GSM249894"
"148","GSM249895"
"149","GSM249896"
"150","GSM249897"
"151","GSM249898"
"152","GSM249899"
"153","GSM249900"
"154","GSM249902"
"155","GSM249903"
"156","GSM249904"
"157","GSM249905"
"158","GSM249906"
"159","GSM249907"
"160","GSM249909"
"161","GSM249911"
"162","GSM249912"
"163","GSM249913"
"164","GSM249914"
"165","GSM249915"
"166","GSM249916"
"167","GSM249917"
"168","GSM249918"
"169","GSM249919"
"170","GSM249920"
"171","GSM249921"
"172","GSM249922"
"173","GSM249923"
"174","GSM249924"
"175","GSM249925"
"176","GSM249926"
"177","GSM249927"
"178","GSM249928"
"179","GSM249929"
"180","GSM249930"
"181","GSM249931"
"182","GSM249932"
"183","GSM249933"
"184","GSM249934"
"185","GSM249935"
"186","GSM249936"
"187","GSM249937"
"188","GSM249938"
"189","GSM249939"
"190","GSM249940"
"191","GSM249941"
"192","GSM249942"
"193","GSM249943"
"194","GSM249944"
"195","GSM249945"
"196","GSM249947"
"197","GSM249949"
"198","GSM249950"
"199","GSM249951"
"200","GSM249953"
"201","GSM249954"
"202","GSM249955"
"203","GSM249956"
"204","GSM249957"
"205","GSM249958"
"206","GSM249959"
"207","GSM249960"
"208","GSM249961"
"209","GSM249962"
"210","GSM249963"
"211","GSM249964"
"212","GSM249965"
"213","GSM249967"
"214","GSM249968"
"215","GSM249969"
"216","GSM249970"
"217","GSM249971"
"218","GSM249972"
"219","GSM249973"
"220","GSM249975"
"221","GSM249976"
"222","GSM249979"
"223","GSM249980"
"224","GSM249981"
"225","GSM249982"
"226","GSM249983"
"227","GSM249984"
"228","GSM249986"
"229","GSM249987"
"230","GSM249988"
"231","GSM249989"
"232","GSM249990"
"233","GSM249991"
"234","GSM249992"
"235","GSM249993"
"236","GSM249994"
"237","GSM249996"
"238","GSM249997"
"239","GSM249998"
"240","GSM249999"
"241","GSM250000"
"242","GSM250001"
