"","V1","V2","V3"
"GSM657529","1","1","4"
"GSM657530","2","1","4"
"GSM657531","2","1","3"
"GSM657532","1","2","1"
"GSM657533","1","3","2"
"GSM657534","2","1","3"
"GSM657535","1","2","1"
"GSM657536","1","2","1"
"GSM657537","1","3","2"
"GSM657538","2","1","3"
"GSM657539","1","3","4"
"GSM657540","1","3","4"
"GSM657541","1","1","4"
"GSM657542","1","2","1"
"GSM657543","1","2","1"
"GSM657544","2","1","3"
"GSM657545","2","2","2"
"GSM657546","1","2","1"
"GSM657547","1","3","4"
"GSM657548","2","1","3"
"GSM657549","1","3","4"
"GSM657550","1","3","4"
"GSM657551","1","1","4"
"GSM657552","1","3","2"
"GSM657553","1","2","1"
"GSM657554","1","2","4"
"GSM657555","1","1","4"
"GSM657556","2","1","3"
"GSM657557","2","1","4"
"GSM657558","2","1","4"
"GSM657559","2","1","3"
"GSM657560","2","2","1"
"GSM657561","2","1","3"
"GSM657562","2","1","4"
"GSM657563","1","3","4"
"GSM657564","1","2","1"
"GSM657565","1","2","1"
"GSM657566","2","1","3"
"GSM657567","2","2","1"
"GSM657568","2","1","3"
"GSM657569","2","1","3"
"GSM657570","1","2","1"
"GSM657571","1","3","4"
"GSM657572","1","2","1"
"GSM657573","2","2","1"
"GSM657574","2","1","3"
"GSM657575","2","2","2"
"GSM657576","2","1","3"
"GSM657577","1","2","1"
"GSM657578","1","2","1"
"GSM657579","1","2","2"
"GSM657580","2","1","2"
"GSM657581","2","1","4"
"GSM657582","1","2","2"
"GSM657583","1","2","1"
"GSM657584","2","3","4"
"GSM657585","2","1","3"
"GSM657586","2","1","4"
"GSM657587","2","1","4"
"GSM657588","2","1","4"
"GSM657589","1","3","2"
"GSM657590","1","2","2"
"GSM657591","1","3","4"
"GSM657592","1","3","4"
"GSM657593","1","2","1"
"GSM657594","1","1","4"
"GSM657595","1","3","2"
"GSM657596","1","2","2"
"GSM657597","2","1","3"
"GSM657598","2","1","3"
"GSM657599","2","1","3"
"GSM657600","1","3","4"
"GSM657601","1","3","2"
"GSM657602","1","2","1"
"GSM657603","1","2","1"
"GSM657604","1","2","1"
"GSM657605","2","3","3"
"GSM657606","1","1","4"
"GSM657607","1","3","4"
"GSM657608","1","3","2"
"GSM657609","2","1","3"
"GSM657610","2","3","4"
"GSM657611","2","1","3"
"GSM657612","1","2","1"
"GSM657613","1","3","4"
"GSM657614","1","3","2"
"GSM657615","2","1","3"
"GSM657616","1","3","2"
"GSM657617","1","3","2"
"GSM657618","1","3","2"
"GSM657619","1","1","4"
"GSM657620","2","1","3"
"GSM657621","2","1","3"
"GSM657622","1","2","1"
"GSM657623","2","1","4"
"GSM657624","2","1","3"
"GSM657625","2","1","3"
"GSM657626","1","3","2"
"GSM657627","1","2","2"
"GSM657628","2","1","4"
"GSM657629","1","3","4"
"GSM657630","1","3","2"
"GSM657631","2","1","3"
"GSM657632","2","1","3"
"GSM657633","1","2","1"
"GSM657634","2","1","3"
"GSM657635","2","1","2"
"GSM657636","1","3","2"
"GSM657637","2","1","3"
"GSM657638","2","1","4"
"GSM657639","2","2","2"
"GSM657640","2","1","3"
"GSM657641","2","1","3"
"GSM657642","1","3","4"
"GSM657643","2","1","3"
"GSM657644","2","1","4"
"GSM657645","1","1","2"
"GSM657646","1","2","2"
"GSM657647","2","1","3"
"GSM657648","1","3","4"
"GSM657649","1","2","1"
"GSM657650","1","3","4"
"GSM657651","1","3","4"
"GSM657652","2","1","3"
"GSM657653","1","3","4"
"GSM657654","1","3","4"
"GSM657655","2","1","4"
"GSM657656","2","1","4"
"GSM657657","1","1","2"
"GSM657658","1","2","4"
"GSM657659","1","2","2"
"GSM657660","2","1","3"
"GSM657661","1","3","4"
"GSM657662","1","3","4"
"GSM657663","1","2","1"
"GSM657664","1","3","2"
"GSM657665","1","2","2"
"GSM657666","1","3","4"
"GSM657667","1","3","4"
"GSM657668","1","3","4"
"GSM657669","2","1","3"
"GSM657670","1","1","4"
"GSM657671","1","3","2"
"GSM657672","1","3","4"
"GSM657673","1","3","4"
"GSM657674","1","2","1"
"GSM657675","2","1","4"
"GSM657676","1","3","4"
"GSM657677","1","3","2"
"GSM657678","1","2","1"
"GSM657679","1","2","1"
"GSM657680","2","1","3"
"GSM657681","2","1","3"
"GSM657682","2","1","4"
"GSM657683","2","1","4"
"GSM657684","1","2","1"
"GSM657685","1","3","2"
"GSM657686","1","3","4"
"GSM657687","1","3","4"
"GSM657688","2","1","4"
"GSM657689","1","3","4"
"GSM657690","2","2","1"
"GSM657691","2","1","3"
"GSM657692","2","1","3"
"GSM657693","1","2","2"
"GSM657694","2","2","1"
"GSM657695","2","1","3"
"GSM657696","1","3","4"
"GSM657697","2","2","1"
"GSM657698","2","1","3"
"GSM657699","1","2","2"
"GSM657700","2","1","3"
"GSM657701","2","1","1"
"GSM657702","1","3","4"
"GSM657703","2","1","4"
"GSM657704","1","3","2"
"GSM657705","1","2","1"
"GSM657706","2","1","4"
"GSM657707","2","2","1"
"GSM657708","1","3","4"
"GSM657709","2","2","1"
"GSM657710","2","1","4"
"GSM657711","1","2","1"
"GSM657712","1","2","1"
"GSM657713","1","3","2"
