"","V1","V2","V3"
"TCGA.61.2002","1","1","2"
"TCGA.61.2087","1","2","1"
"TCGA.61.2101","2","3","3"
"TCGA.09.2054","2","3","4"
"TCGA.24.2019","2","3","4"
"TCGA.24.2260","2","3","4"
"TCGA.61.2088","2","3","4"
"TCGA.61.2009","1","1","3"
"TCGA.09.2056","1","2","1"
"TCGA.24.2024","2","1","3"
"TCGA.24.2261","1","2","2"
"TCGA.61.2008","1","1","3"
"TCGA.61.2092","2","2","4"
"TCGA.61.2104","1","2","1"
"TCGA.23.2072","1","3","1"
"TCGA.24.2030","2","3","4"
"TCGA.61.1734","2","2","1"
"TCGA.61.2018","1","2","2"
"TCGA.23.2077","2","2","1"
"TCGA.24.2033","2","3","3"
"TCGA.61.1736","1","2","1"
"TCGA.61.2012","1","1","2"
"TCGA.61.2095","1","1","3"
"TCGA.23.2078","1","1","3"
"TCGA.24.2035","1","1","3"
"TCGA.61.1995","2","2","1"
"TCGA.61.2016","1","2","1"
"TCGA.61.2096","2","3","4"
"TCGA.61.2000","1","2","2"
"TCGA.23.2079","1","2","2"
"TCGA.24.2036","2","3","4"
"TCGA.61.1998","1","1","3"
"TCGA.61.2097","1","1","1"
"TCGA.61.2113","1","1","3"
"TCGA.23.2081","1","1","1"
"TCGA.61.2094","1","2","2"
"TCGA.61.2098","2","3","4"
"TCGA.61.2109","2","2","1"
"TCGA.61.2102","2","3","4"
"TCGA.61.2003","1","1","3"
"TCGA.61.2111","2","3","4"
"TCGA.04.1654","1","2","1"
"TCGA.24.2020","2","3","4"
"TCGA.25.1878","1","2","2"
"TCGA.31.1951","1","1","3"
"TCGA.24.2023","1","2","1"
"TCGA.30.1853","2","3","4"
"TCGA.30.1880","1","2","1"
"TCGA.31.1953","1","1","2"
"TCGA.61.1724","1","2","1"
"TCGA.24.1920","2","3","4"
"TCGA.24.2026","1","2","2"
"TCGA.30.1859","2","3","1"
"TCGA.30.1887","1","1","2"
"TCGA.61.1728","2","3","1"
"TCGA.24.1923","2","3","3"
